domain,validations
www.w3.org,517
purl.org,403
dbpedia.org,305
bioguid.info,232
lcsh.info,231
berrueta.net,226
xmlns.com,198
rdfs.org,191
www.semanticdesktop.org,150
transformr.co.uk,139
ggg.milanstankovic.org,132
www.johngoodwin.me.uk,130
biocol.org,117
www.zbw.eu,93
chroniclingamerica.loc.gov,84
www.wikier.org,81
cws3.geol.iastate.edu,76
rdf.freebase.com,75
collections.wordsworth.org.uk,68
www.purl.org,62
www.seoworkers.com,58
www.berrueta.net,58
biodiversity.org.au,51
os.rkbexplorer.com,49
www.sharesemantics.com,48
rdfohloh.wikier.org,46
zbw.eu,42
usefulinc.com,39
renaud.delbru.fr,37
data.linkedmdb.org,34
www.lassila.org,34
www.ivan-herman.net,30
purl.oclc.org,30
neologism.deri.ie,29
lod.geospecies.org,29
data.fundacionctic.org,29
marghe.rita.online.fr,27
lod.taxonconcept.org,24
tomheath.com,23
chronoslab.chronos.org,22
stitch.cs.vu.nl,21
www.bbc.co.uk,21
atlasoflivingaustralia.appspot.com,21
www.stylid.org,20
weborganics.co.uk,20

